,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
95,UTAH,2004,927844,241199.0,663742.0,22903.0,,5.0,80290.0,40.0,0.32020519381157536,2401580,0.25995641508701894,0.7153594785330293,0.024684106379951803,,0.38634732134678
96,VERMONT,2004,312309,184067.0,121180.0,7062.0,,3.6,74700.0,46.0,0.2777877269394389,619920,0.5893746257712714,0.38801315363950445,0.022612220589224134,,0.5037891986062718
97,VIRGINIA,2004,3198367,1454742.0,1716959.0,26666.0,,3.7,80710.0,44.0,0.3064638096598418,7475575,0.4548389850195428,0.5368236353113949,0.008337379669062369,,0.4278422730024112
98,WASHINGTON,2004,2859084,1510201.0,1304894.0,43989.0,,6.3,78790.0,44.0,0.32651657213304075,6178645,0.5282114831183694,0.45640281992414355,0.015385696957487083,,0.462736409034667
99,WEST VIRGINIA,2004,755659,326541.0,423550.0,5568.0,,5.4,52670.0,46.0,0.16781188536199063,1816438,0.4321274543147107,0.5605041427416335,0.007368402943655802,,0.4160114465784134
100,WISCONSIN,2004,2997007,1489504.0,1478120.0,29383.0,,5.0,72180.0,45.0,0.25408069849305165,5514026,0.49699717084411216,0.49319871458425024,0.009804114571637637,,0.5435242779051096
101,WYOMING,2004,243428,70776.0,167629.0,5023.0,,3.8,71650.0,46.0,0.27031255297610685,509106,0.2907471613783131,0.6886184005126773,0.020634438109009647,,0.47814796918519914
102,ALABAMA,2008,2099819,813479.0,1266546.0,19794.0,,5.9,62350.0,46.0,0.23390689220808591,4718206,0.38740434294574916,0.603169130291706,0.009426526762544771,,0.4450460619989886
103,ALASKA,2008,326197,123594.0,193841.0,8762.0,,6.5,,44.0,0.27007734407150574,687455,0.37889373599389325,0.5942451953880631,0.026861068618043698,,0.4744994217803347
104,ARIZONA,2008,2293475,1034707.0,1230111.0,28657.0,,5.8,65770.0,45.0,0.28065459589350517,6280362,0.4511525087476428,0.5363524782262724,0.012495013026084871,,0.36518197517913775
105,ARKANSAS,2008,1086617,422310.0,638017.0,26290.0,,5.4,55500.0,46.0,0.21349388344447456,2874554,0.3886465976512423,0.5871590449992959,0.024194357349461678,,0.3780123803553525
106,CALIFORNIA,2008,13561900,8274473.0,5011781.0,275646.0,,7.3,79930.0,43.0,0.3295019811629596,36604337,0.6101263834713425,0.36954858832464477,0.02032502820401271,,0.3704998126314923
107,COLORADO,2008,2401361,1288576.0,1073589.0,39196.0,,4.8,85440.0,44.0,0.35075681032137723,4889730,0.5366023684069159,0.4470752210933716,0.016322410499712454,,0.49110298523640367
108,CONNECTICUT,2008,1647085,1000291.0,628041.0,18753.0,,5.6,90680.0,46.0,0.2907895275894561,3545579,0.6073098838250607,0.3813045471241618,0.011385569050777585,,0.46454612913715926
109,DELAWARE,2008,412412,255459.0,152374.0,4579.0,,4.8,71080.0,46.0,0.24734794623453973,883874,0.6194266898150393,0.36947033548975294,0.011102974695207705,,0.4665959175176552
110,DISTRICT OF COLUMBIA,2008,265853,245800.0,17367.0,2686.0,,6.5,77930.0,40.0,0.3234211711361978,580236,0.9245710975614343,0.06532557465968035,0.010103327778885323,,0.4581808091879856
111,FLORIDA,2008,8391639,4282366.0,4046212.0,63061.0,,6.3,62890.0,47.0,0.26561290761963136,18527305,0.5103134202984662,0.48217183794488777,0.00751474175664611,,0.4529336025935774
112,GEORGIA,2008,3925278,1844137.0,2048744.0,32397.0,,6.4,64810.0,43.0,0.2834580158363839,9504843,0.4698105459027361,0.5219360259324308,0.008253428164833166,,0.4129766267575382
113,HAWAII,2008,452742,325201.0,120429.0,7112.0,,4.1,86250.0,45.0,0.2895195605150453,1332213,0.7182920957189746,0.2659991783399817,0.015708725941043684,,0.339842052284432
114,IDAHO,2008,655032,236440.0,403012.0,15580.0,,5.0,66480.0,45.0,0.2763115585347152,1534320,0.36095946457577643,0.6152554379022704,0.023785097521953125,,0.42692006882527767
115,ILLINOIS,2008,5523051,3419673.0,2031527.0,71851.0,,6.5,74660.0,44.0,0.2926794889257041,12747038,0.6191637556850371,0.3678269492713357,0.013009295043627155,,0.4332811277412055
116,INDIANA,2008,2751054,1374039.0,1345648.0,31367.0,,5.9,65220.0,46.0,0.22247420291588338,6424806,0.4994591163968428,0.4891390717884854,0.011401811814671758,,0.42819253997708256
117,IOWA,2008,1536820,828940.0,682379.0,25501.0,,4.1,,47.0,0.2506012444034814,3016734,0.539386525422626,0.4440201194674718,0.016593355109902265,,0.5094317231814274
